#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#reading: NA
#before_after: NA
#design_construct: NA
#FCS_File: NA
name	folder	X	strain	treatment	reading	before_after	design_construct	FCS_File
8I04.fcs	8I04.fcs	r09	60	yWL186	Control EtOH	9	after	AFB2 cis	8I04.fcs
8I07.fcs	8I07.fcs	r09	61	yWL161	Auxin	9	after	TIR1 trans	8I07.fcs
8I08.fcs	8I08.fcs	r09	62	yWL162	Auxin	9	after	AFB2 trans	8I08.fcs
8I09.fcs	8I09.fcs	r09	63	yWL185	Auxin	9	after	TIR1 cis	8I09.fcs
8I10.fcs	8I10.fcs	r09	64	yWL186	Auxin	9	after	AFB2 cis	8I10.fcs
9J01.fcs	9J01.fcs	r10	65	yWL161	Control EtOH	10	after	TIR1 trans	9J01.fcs
9J02.fcs	9J02.fcs	r10	66	yWL162	Control EtOH	10	after	AFB2 trans	9J02.fcs
9J03.fcs	9J03.fcs	r10	67	yWL185	Control EtOH	10	after	TIR1 cis	9J03.fcs
9J04.fcs	9J04.fcs	r10	68	yWL186	Control EtOH	10	after	AFB2 cis	9J04.fcs
9J07.fcs	9J07.fcs	r10	69	yWL161	Auxin	10	after	TIR1 trans	9J07.fcs
9J08.fcs	9J08.fcs	r10	70	yWL162	Auxin	10	after	AFB2 trans	9J08.fcs
9J09.fcs	9J09.fcs	r10	71	yWL185	Auxin	10	after	TIR1 cis	9J09.fcs
9J10.fcs	9J10.fcs	r10	72	yWL186	Auxin	10	after	AFB2 cis	9J10.fcs
10K01.fcs	10K01.fcs	r11	73	yWL161	Control EtOH	11	after	TIR1 trans	10K01.fcs
10K02.fcs	10K02.fcs	r11	74	yWL162	Control EtOH	11	after	AFB2 trans	10K02.fcs
10K03.fcs	10K03.fcs	r11	75	yWL185	Control EtOH	11	after	TIR1 cis	10K03.fcs
10K04.fcs	10K04.fcs	r11	76	yWL186	Control EtOH	11	after	AFB2 cis	10K04.fcs
10K07.fcs	10K07.fcs	r11	77	yWL161	Auxin	11	after	TIR1 trans	10K07.fcs
10K08.fcs	10K08.fcs	r11	78	yWL162	Auxin	11	after	AFB2 trans	10K08.fcs
10K09.fcs	10K09.fcs	r11	79	yWL185	Auxin	11	after	TIR1 cis	10K09.fcs
10K10.fcs	10K10.fcs	r11	80	yWL186	Auxin	11	after	AFB2 cis	10K10.fcs
11L01.fcs	11L01.fcs	r12	81	yWL161	Control EtOH	12	after	TIR1 trans	11L01.fcs
11L02.fcs	11L02.fcs	r12	82	yWL162	Control EtOH	12	after	AFB2 trans	11L02.fcs
11L03.fcs	11L03.fcs	r12	83	yWL185	Control EtOH	12	after	TIR1 cis	11L03.fcs
11L04.fcs	11L04.fcs	r12	84	yWL186	Control EtOH	12	after	AFB2 cis	11L04.fcs
11L07.fcs	11L07.fcs	r12	85	yWL161	Auxin	12	after	TIR1 trans	11L07.fcs
11L08.fcs	11L08.fcs	r12	86	yWL162	Auxin	12	after	AFB2 trans	11L08.fcs
11L09.fcs	11L09.fcs	r12	87	yWL185	Auxin	12	after	TIR1 cis	11L09.fcs
11L10.fcs	11L10.fcs	r12	88	yWL186	Auxin	12	after	AFB2 cis	11L10.fcs
12M01.fcs	12M01.fcs	r13	89	yWL161	Control EtOH	13	after	TIR1 trans	12M01.fcs
12M02.fcs	12M02.fcs	r13	90	yWL162	Control EtOH	13	after	AFB2 trans	12M02.fcs
12M03.fcs	12M03.fcs	r13	91	yWL185	Control EtOH	13	after	TIR1 cis	12M03.fcs
12M04.fcs	12M04.fcs	r13	92	yWL186	Control EtOH	13	after	AFB2 cis	12M04.fcs
12M07.fcs	12M07.fcs	r13	93	yWL161	Auxin	13	after	TIR1 trans	12M07.fcs
12M08.fcs	12M08.fcs	r13	94	yWL162	Auxin	13	after	AFB2 trans	12M08.fcs
12M09.fcs	12M09.fcs	r13	95	yWL185	Auxin	13	after	TIR1 cis	12M09.fcs
12M10.fcs	12M10.fcs	r13	96	yWL186	Auxin	13	after	AFB2 cis	12M10.fcs
13N01.fcs	13N01.fcs	r14	97	yWL161	Control EtOH	14	after	TIR1 trans	13N01.fcs
13N02.fcs	13N02.fcs	r14	98	yWL162	Control EtOH	14	after	AFB2 trans	13N02.fcs
13N03.fcs	13N03.fcs	r14	99	yWL185	Control EtOH	14	after	TIR1 cis	13N03.fcs
13N04.fcs	13N04.fcs	r14	100	yWL186	Control EtOH	14	after	AFB2 cis	13N04.fcs
13N07.fcs	13N07.fcs	r14	101	yWL161	Auxin	14	after	TIR1 trans	13N07.fcs
13N08.fcs	13N08.fcs	r14	102	yWL162	Auxin	14	after	AFB2 trans	13N08.fcs
13N09.fcs	13N09.fcs	r14	103	yWL185	Auxin	14	after	TIR1 cis	13N09.fcs
13N10.fcs	13N10.fcs	r14	104	yWL186	Auxin	14	after	AFB2 cis	13N10.fcs
14O01.fcs	14O01.fcs	r15	105	yWL161	Control EtOH	15	after	TIR1 trans	14O01.fcs
14O02.fcs	14O02.fcs	r15	106	yWL162	Control EtOH	15	after	AFB2 trans	14O02.fcs
14O03.fcs	14O03.fcs	r15	107	yWL185	Control EtOH	15	after	TIR1 cis	14O03.fcs
14O04.fcs	14O04.fcs	r15	108	yWL186	Control EtOH	15	after	AFB2 cis	14O04.fcs
14O07.fcs	14O07.fcs	r15	109	yWL161	Auxin	15	after	TIR1 trans	14O07.fcs
14O08.fcs	14O08.fcs	r15	110	yWL162	Auxin	15	after	AFB2 trans	14O08.fcs
14O09.fcs	14O09.fcs	r15	111	yWL185	Auxin	15	after	TIR1 cis	14O09.fcs
14O10.fcs	14O10.fcs	r15	112	yWL186	Auxin	15	after	AFB2 cis	14O10.fcs
