#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#point: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	point	colony	FCS_File
2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs	DRA-11152022_read8	19	0.8 uM	0.8	1	8	1	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs
2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs	DRA-11152022_read8	20	100 uM	100	1	8	1	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs
2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs	DRA-11152022_read8	21	20 uM	20	1	8	1	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs
2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs	DRA-11152022_read8	22	4 uM	4	1	8	1	2Pat-11152022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0 uM.fcs	DRA-11182022_read16	23	0 uM	0	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000102 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000102 uM.fcs	DRA-11182022_read16	24	0.0000102 uM	1.02e-05	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000102 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000512 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000512 uM.fcs	DRA-11182022_read16	25	0.0000512 uM	5.12e-05	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0000512 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.000256 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.000256 uM.fcs	DRA-11182022_read16	26	0.000256 uM	0.000256	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.000256 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.00128 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.00128 uM.fcs	DRA-11182022_read16	27	0.00128 uM	0.00128	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.00128 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0064 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0064 uM.fcs	DRA-11182022_read16	28	0.0064 uM	0.0064	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.0064 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.032 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.032 uM.fcs	DRA-11182022_read16	29	0.032 uM	0.032	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.032 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.16 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.16 uM.fcs	DRA-11182022_read16	30	0.16 uM	0.16	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.16 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.8 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.8 uM.fcs	DRA-11182022_read16	31	0.8 uM	0.8	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 0.8 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 100 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 100 uM.fcs	DRA-11182022_read16	32	100 uM	100	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 100 uM.fcs
