#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.16 uM.fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA02	16	0.16 uM	2	0.16	end	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.16 uM.fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.8 uM.fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA02	17	0.8 uM	2	0.8	end	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_0.8 uM.fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_100 uM.fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA02	18	100 uM	2	100	end	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_100 uM.fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_20 uM.fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA02	19	20 uM	2	20	end	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_20 uM.fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_4 uM.fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_4 uM.fcs	DRA02	20	4 uM	2	4	end	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Exponential_4 uM.fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	DRA02	21	0.16 uM (Inter 1)	2	0.16	intermediate 1	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	DRA02	22	0.16 uM (Inter 2)	2	0.16	intermediate 2	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	DRA02	23	100 uM (Inter 3)	2	100	intermediate 1	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs
2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs	DRA02	24	100 uM (Inter 4)	2	100	intermediate 2	2Pat-08052022-Biosensor_LCMS_rep2-DRA02_DRA-LCMS-R2_Harvest during degradation_100 uM (60 mins).fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0 uM.fcs	DRA03	25	0 uM	3	0	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0 uM.fcs
