#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#colony: NA
#design: NA
#yeast: NA
#design_yeast: NA
#FCS_File: NA
name	folder	X	strain	treatment	colony	design	yeast	design_yeast	FCS_File
603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C1.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C1.fcs	TCA06	83	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C1.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C2.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C2.fcs	TCA06	84	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	603112022-Pat-TCA06_Time-course assay_Auxin_yWL186-C2.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C1.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C1.fcs	TCA06	85	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C1.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C2.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C2.fcs	TCA06	86	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Auxin_yWL209-C2.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C1.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C1.fcs	TCA06	87	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C1.fcs
603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C2.fcs	603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C2.fcs	TCA06	88	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Auxin_yWL210-C2.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL185-C1.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL185-C1.fcs	TCA06	89	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	603112022-Pat-TCA06_Time-course assay_Control_yWL185-C1.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL185-C2.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL185-C2.fcs	TCA06	90	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	603112022-Pat-TCA06_Time-course assay_Control_yWL185-C2.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL186-C1.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL186-C1.fcs	TCA06	91	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	603112022-Pat-TCA06_Time-course assay_Control_yWL186-C1.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL186-C2.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL186-C2.fcs	TCA06	92	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	603112022-Pat-TCA06_Time-course assay_Control_yWL186-C2.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL209-C1.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL209-C1.fcs	TCA06	93	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Control_yWL209-C1.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL209-C2.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL209-C2.fcs	TCA06	94	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Control_yWL209-C2.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL210-C1.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL210-C1.fcs	TCA06	95	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Control_yWL210-C1.fcs
603112022-Pat-TCA06_Time-course assay_Control_yWL210-C2.fcs	603112022-Pat-TCA06_Time-course assay_Control_yWL210-C2.fcs	TCA06	96	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	603112022-Pat-TCA06_Time-course assay_Control_yWL210-C2.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C1.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C1.fcs	TCA07	97	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C1.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C2.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C2.fcs	TCA07	98	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	703112022-Pat-TCA07_Time-course assay_Auxin_yWL185-C2.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C1.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C1.fcs	TCA07	99	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C1.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C2.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C2.fcs	TCA07	100	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	703112022-Pat-TCA07_Time-course assay_Auxin_yWL186-C2.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C1.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C1.fcs	TCA07	101	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C1.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C2.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C2.fcs	TCA07	102	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Auxin_yWL209-C2.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C1.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C1.fcs	TCA07	103	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C1.fcs
703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C2.fcs	703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C2.fcs	TCA07	104	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Auxin_yWL210-C2.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL185-C1.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL185-C1.fcs	TCA07	105	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	703112022-Pat-TCA07_Time-course assay_Control_yWL185-C1.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL185-C2.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL185-C2.fcs	TCA07	106	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	703112022-Pat-TCA07_Time-course assay_Control_yWL185-C2.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL186-C1.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL186-C1.fcs	TCA07	107	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	703112022-Pat-TCA07_Time-course assay_Control_yWL186-C1.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL186-C2.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL186-C2.fcs	TCA07	108	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	703112022-Pat-TCA07_Time-course assay_Control_yWL186-C2.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL209-C1.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL209-C1.fcs	TCA07	109	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Control_yWL209-C1.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL209-C2.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL209-C2.fcs	TCA07	110	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Control_yWL209-C2.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL210-C1.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL210-C1.fcs	TCA07	111	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Control_yWL210-C1.fcs
703112022-Pat-TCA07_Time-course assay_Control_yWL210-C2.fcs	703112022-Pat-TCA07_Time-course assay_Control_yWL210-C2.fcs	TCA07	112	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	703112022-Pat-TCA07_Time-course assay_Control_yWL210-C2.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C1.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C1.fcs	TCA08	113	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C1.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C2.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C2.fcs	TCA08	114	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	803112022-Pat-TCA08_Time-course assay_Auxin_yWL185-C2.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C1.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C1.fcs	TCA08	115	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C1.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C2.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C2.fcs	TCA08	116	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	803112022-Pat-TCA08_Time-course assay_Auxin_yWL186-C2.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C1.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C1.fcs	TCA08	117	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C1.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C2.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C2.fcs	TCA08	118	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Auxin_yWL209-C2.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C1.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C1.fcs	TCA08	119	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C1.fcs
803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C2.fcs	803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C2.fcs	TCA08	120	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Auxin_yWL210-C2.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL185-C1.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL185-C1.fcs	TCA08	121	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	803112022-Pat-TCA08_Time-course assay_Control_yWL185-C1.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL185-C2.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL185-C2.fcs	TCA08	122	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	803112022-Pat-TCA08_Time-course assay_Control_yWL185-C2.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL186-C1.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL186-C1.fcs	TCA08	123	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	803112022-Pat-TCA08_Time-course assay_Control_yWL186-C1.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL186-C2.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL186-C2.fcs	TCA08	124	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	803112022-Pat-TCA08_Time-course assay_Control_yWL186-C2.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL209-C1.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL209-C1.fcs	TCA08	125	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Control_yWL209-C1.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL209-C2.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL209-C2.fcs	TCA08	126	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Control_yWL209-C2.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL210-C1.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL210-C1.fcs	TCA08	127	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Control_yWL210-C1.fcs
803112022-Pat-TCA08_Time-course assay_Control_yWL210-C2.fcs	803112022-Pat-TCA08_Time-course assay_Control_yWL210-C2.fcs	TCA08	128	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	803112022-Pat-TCA08_Time-course assay_Control_yWL210-C2.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C1.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C1.fcs	TCA09	129	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C1.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C2.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C2.fcs	TCA09	130	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	903112022-Pat-TCA09_Time-course assay_Auxin_yWL185-C2.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C1.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C1.fcs	TCA09	131	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C1.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C2.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C2.fcs	TCA09	132	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	903112022-Pat-TCA09_Time-course assay_Auxin_yWL186-C2.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C1.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C1.fcs	TCA09	133	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C1.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C2.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C2.fcs	TCA09	134	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Auxin_yWL209-C2.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C1.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C1.fcs	TCA09	135	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C1.fcs
903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C2.fcs	903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C2.fcs	TCA09	136	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Auxin_yWL210-C2.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL185-C1.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL185-C1.fcs	TCA09	137	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	903112022-Pat-TCA09_Time-course assay_Control_yWL185-C1.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL185-C2.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL185-C2.fcs	TCA09	138	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	903112022-Pat-TCA09_Time-course assay_Control_yWL185-C2.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL186-C1.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL186-C1.fcs	TCA09	139	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	903112022-Pat-TCA09_Time-course assay_Control_yWL186-C1.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL186-C2.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL186-C2.fcs	TCA09	140	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	903112022-Pat-TCA09_Time-course assay_Control_yWL186-C2.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL209-C1.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL209-C1.fcs	TCA09	141	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Control_yWL209-C1.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL209-C2.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL209-C2.fcs	TCA09	142	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Control_yWL209-C2.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL210-C1.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL210-C1.fcs	TCA09	143	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Control_yWL210-C1.fcs
903112022-Pat-TCA09_Time-course assay_Control_yWL210-C2.fcs	903112022-Pat-TCA09_Time-course assay_Control_yWL210-C2.fcs	TCA09	144	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	903112022-Pat-TCA09_Time-course assay_Control_yWL210-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C1.fcs	TCA10	145	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C2.fcs	TCA10	146	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL185-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C1.fcs	TCA10	147	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C2.fcs	TCA10	148	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL186-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C1.fcs	TCA10	149	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C2.fcs	TCA10	150	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL209-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C1.fcs	TCA10	151	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C2.fcs	TCA10	152	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Auxin_yWL210-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C1.fcs	TCA10	153	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C2.fcs	TCA10	154	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	1003112022-Pat-TCA10_Time-course assay_Control_yWL185-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C1.fcs	TCA10	155	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C2.fcs	TCA10	156	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	1003112022-Pat-TCA10_Time-course assay_Control_yWL186-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C1.fcs	TCA10	157	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C2.fcs	TCA10	158	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Control_yWL209-C2.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C1.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C1.fcs	TCA10	159	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C1.fcs
1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C2.fcs	1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C2.fcs	TCA10	160	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	1003112022-Pat-TCA10_Time-course assay_Control_yWL210-C2.fcs
