#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#colony: NA
#design: NA
#yeast: NA
#design_yeast: NA
#FCS_File: NA
name	folder	X	strain	treatment	colony	design	yeast	design_yeast	FCS_File
203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C1.fcs	203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C1.fcs	TCA02	21	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C1.fcs
203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C2.fcs	203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C2.fcs	TCA02	22	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Auxin_yWL209-C2.fcs
203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C1.fcs	203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C1.fcs	TCA02	23	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C1.fcs
203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C2.fcs	203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C2.fcs	TCA02	24	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Auxin_yWL210-C2.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL185-C1.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL185-C1.fcs	TCA02	25	yWL185	Control	1	TIR1 cis	W303	TIR1 cis_W303	203112022-Pat-TCA02_Time-course assay_Control_yWL185-C1.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL185-C2.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL185-C2.fcs	TCA02	26	yWL185	Control	2	TIR1 cis	W303	TIR1 cis_W303	203112022-Pat-TCA02_Time-course assay_Control_yWL185-C2.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL186-C1.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL186-C1.fcs	TCA02	27	yWL186	Control	1	AFB2 cis	W303	AFB2 cis_W303	203112022-Pat-TCA02_Time-course assay_Control_yWL186-C1.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL186-C2.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL186-C2.fcs	TCA02	28	yWL186	Control	2	AFB2 cis	W303	AFB2 cis_W303	203112022-Pat-TCA02_Time-course assay_Control_yWL186-C2.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL209-C1.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL209-C1.fcs	TCA02	29	yWL209	Control	1	TIR1 cis	YPH499	TIR1 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Control_yWL209-C1.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL209-C2.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL209-C2.fcs	TCA02	30	yWL209	Control	2	TIR1 cis	YPH499	TIR1 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Control_yWL209-C2.fcs
