#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-01202023_read8	19	0.032 uM	0.032	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-01202023_read8	20	0.16 uM	0.16	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-01202023_read8	21	0.8 uM	0.8	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs	DRA-01202023_read8	22	100 uM	100	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs	DRA-01202023_read8	23	20 uM	20	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs
2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs	DRA-01202023_read8	24	4 uM	4	2	20-Jan-23	2Pat-01202023-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	DRA-01252023_read8	25	0 uM	0	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	DRA-01252023_read8	26	0.0000102 uM	1.02e-05	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	DRA-01252023_read8	27	0.0000512 uM	5.12e-05	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	DRA-01252023_read8	28	0.000256 uM	0.000256	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs
