#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.00128 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.00128 uM.fcs	DRA-11152022_read8	75	0.00128 uM	0.00128	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.00128 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.0064 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.0064 uM.fcs	DRA-11152022_read8	76	0.0064 uM	0.0064	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.0064 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-11152022_read8	77	0.032 uM	0.032	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.032 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-11152022_read8	78	0.16 uM	0.16	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.16 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-11152022_read8	79	0.8 uM	0.8	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 0.8 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs	DRA-11152022_read8	80	100 uM	100	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 100 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs	DRA-11152022_read8	81	20 uM	20	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 20 uM.fcs
6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs	DRA-11152022_read8	82	4 uM	4	7	15-Nov-22	6Pat-11152022-Biosensors_DRA08_Experiment_yWL210_IAA 4 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0 uM.fcs	DRA-11182022_read13	83	0 uM	0	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000102 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000102 uM.fcs	DRA-11182022_read13	84	0.0000102 uM	1.02e-05	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000102 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000512 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000512 uM.fcs	DRA-11182022_read13	85	0.0000512 uM	5.12e-05	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0000512 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.000256 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.000256 uM.fcs	DRA-11182022_read13	86	0.000256 uM	0.000256	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.000256 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.00128 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.00128 uM.fcs	DRA-11182022_read13	87	0.00128 uM	0.00128	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.00128 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0064 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0064 uM.fcs	DRA-11182022_read13	88	0.0064 uM	0.0064	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.0064 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.032 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-11182022_read13	89	0.032 uM	0.032	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.032 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.16 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-11182022_read13	90	0.16 uM	0.16	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.16 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.8 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-11182022_read13	91	0.8 uM	0.8	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 0.8 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 100 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 100 uM.fcs	DRA-11182022_read13	92	100 uM	100	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 100 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 20 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 20 uM.fcs	DRA-11182022_read13	93	20 uM	20	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 20 uM.fcs
7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 4 uM.fcs	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 4 uM.fcs	DRA-11182022_read13	94	4 uM	4	8	18-Nov-22	7Pat-11182022-Biosensors_DRA13_Experiment_yWL210_IAA 4 uM.fcs
